Month,Day,Hour,Time (Hours),Loading (W) (Extraction)
1,23,20,547,3600
1,23,21,548,3600
1,23,22,549,3600
1,23,23,550,3600
1,23,24,551,3600
1,24,1,552,3600
1,24,2,553,3600
1,24,3,554,3600
1,24,4,555,3600
1,24,5,556,3600
1,24,6,557,3600
1,24,7,558,3600
1,24,8,559,3600
1,24,9,560,3600
1,24,10,561,3600
1,24,11,562,3600
1,24,12,563,3600
1,24,13,564,3600
1,24,14,565,3600
1,24,15,566,3600
1,24,16,567,3600
1,24,17,568,3600
1,24,18,569,3600
1,24,19,570,3600
1,24,20,571,3600
1,24,21,572,3600
1,24,22,573,3600
1,24,23,574,3600
1,24,24,575,3600
1,25,1,576,3600
1,25,2,577,3600
1,25,3,578,3600
1,25,4,579,3600
1,25,5,580,3600
1,25,6,581,3600
1,25,7,582,3600
1,25,8,583,3600
1,25,9,584,3600
1,25,10,585,3600
1,25,11,586,3600
1,25,12,587,3600
1,25,13,588,3600
1,25,14,589,3600
1,25,15,590,3600
1,25,16,591,3600
1,25,17,592,3600
1,25,18,593,3600
1,25,19,594,3600
1,25,20,595,3600
1,25,21,596,3600
1,25,22,597,3600
1,25,23,598,3600
1,25,24,599,3600
1,26,1,600,3600
1,26,2,601,3600
1,26,3,602,3600
1,26,4,603,3600
1,26,5,604,3600
1,26,6,605,3600
1,26,7,606,3600
1,26,8,607,3600
1,26,9,608,3600
1,26,10,609,3600
1,26,11,610,3600
1,26,12,611,3600
1,26,13,612,3600
1,26,14,613,3600
1,26,15,614,3600
1,26,16,615,3600
1,26,17,616,3600
1,26,18,617,3600
1,26,19,618,3600
1,26,20,619,3600
1,26,21,620,3600
1,26,22,621,3600
1,26,23,622,3600
1,26,24,623,3600
1,27,1,624,3600
1,27,2,625,3600
1,27,3,626,3600
1,27,4,627,3600
1,27,5,628,3600
1,27,6,629,3600
1,27,7,630,3600
1,27,8,631,3600
1,27,9,632,3600
1,27,10,633,3600
1,27,11,634,3600
1,27,12,635,3600
1,27,13,636,3600
1,27,14,637,3600
1,27,15,638,3600
1,27,16,639,3600
1,27,17,640,3600
1,27,18,641,3600
1,27,19,642,3600
1,27,20,643,3600
1,27,21,644,3600
1,27,22,645,3600
1,27,23,646,3600
1,27,24,647,3600
1,28,1,648,3600
1,28,2,649,3600
1,28,3,650,3600
1,28,4,651,3600
1,28,5,652,3600
1,28,6,653,3600
1,28,7,654,3600
1,28,8,655,3600
1,28,9,656,3600
1,28,10,657,3600
1,28,11,658,3600
1,28,12,659,3600
1,28,13,660,3600
1,28,14,661,3600
1,28,15,662,3600
1,28,16,663,3600
1,28,17,664,3600
1,28,18,665,3600
1,28,19,666,3600
1,28,20,667,3600
1,28,21,668,3600
1,28,22,669,3600
1,28,23,670,3600
1,28,24,671,3600
1,29,1,672,3600
1,29,2,673,3600
1,29,3,674,3600
1,29,4,675,3600
1,29,5,676,3600
1,29,6,677,3600
1,29,7,678,3600
1,29,8,679,3600
1,29,9,680,3600
1,29,10,681,3600
1,29,11,682,3600
1,29,12,683,3600
1,29,13,684,3600
1,29,14,685,3600
1,29,15,686,3600
1,29,16,687,3600
1,29,17,688,3600
1,29,18,689,3600
1,29,19,690,3600
1,29,20,691,3600
1,29,21,692,3600
1,29,22,693,3600
1,29,23,694,3600
1,29,24,695,3600
1,30,1,696,3600
1,30,2,697,3600
1,30,3,698,3600
1,30,4,699,3600
1,30,5,700,3600
1,30,6,701,3600
1,30,7,702,3600
1,30,8,703,3600
1,30,9,704,3600
1,30,10,705,3600
1,30,11,706,3600
1,30,12,707,3600
1,30,13,708,3600
1,30,14,709,3600
1,30,15,710,3600
1,30,16,711,3600
1,30,17,712,3600
1,30,18,713,3600
1,30,19,714,3600
1,30,20,715,3600
1,30,21,716,3600
1,30,22,717,3600
1,30,23,718,3600
1,30,24,719,3600
1,31,1,720,3600
1,31,2,721,3600
1,31,3,722,3600
1,31,4,723,3600
1,31,5,724,3600
1,31,6,725,3600
1,31,7,726,3600
1,31,8,727,3600
1,31,9,728,3600
1,31,10,729,3600
1,31,11,730,3600
1,31,12,731,3600
1,31,13,732,3600
1,31,14,733,3600
1,31,15,734,3600
1,31,16,735,3600
1,31,17,736,3600
1,31,18,737,3600
1,31,19,738,3600
1,31,20,739,3600
1,31,21,740,3600
1,31,22,741,3600
1,31,23,742,3600
1,31,24,743,3600
2,1,1,744,3600
2,1,2,745,3600
2,1,3,746,3600
2,1,4,747,3600
2,1,5,748,3600
2,1,6,749,3600
2,1,7,750,3600
2,1,8,751,3600
2,1,9,752,3600
2,1,10,753,3600
2,1,11,754,3600
2,1,12,755,3600
2,1,13,756,3600
2,1,14,757,3600
2,1,15,758,3600
2,1,16,759,3600
2,1,17,760,3600
2,1,18,761,3600
2,1,19,762,3600
2,1,20,763,3600
2,1,21,764,3600
2,1,22,765,3600
2,1,23,766,3600
2,1,24,767,3600
2,2,1,768,3600
2,2,2,769,3600
2,2,3,770,3600
2,2,4,771,3600
2,2,5,772,3600
2,2,6,773,3600
2,2,7,774,3600
2,2,8,775,3600
2,2,9,776,3600
2,2,10,777,3600
2,2,11,778,3600
2,2,12,779,3600
2,2,13,780,3600
2,2,14,781,3600
2,2,15,782,3600
2,2,16,783,3600
2,2,17,784,3600
2,2,18,785,3600
2,2,19,786,3600
2,2,20,787,3600
2,2,21,788,3600
2,2,22,789,3600
2,2,23,790,3600
2,2,24,791,3600
2,3,1,792,3600
2,3,2,793,3600
2,3,3,794,3600
2,3,4,795,3600
2,3,5,796,3600
2,3,6,797,3600
2,3,7,798,3600
2,3,8,799,3600
2,3,9,800,3600
2,3,10,801,3600
2,3,11,802,3600
2,3,12,803,3600
2,3,13,804,3600
2,3,14,805,3600
2,3,15,806,3600
2,3,16,807,3600
2,3,17,808,3600
2,3,18,809,3600
2,3,19,810,3600
2,3,20,811,3600
2,3,21,812,3600
2,3,22,813,3600
2,3,23,814,3600
2,3,24,815,3600
2,4,1,816,3600
2,4,2,817,3600
2,4,3,818,3600
2,4,4,819,3600
2,4,5,820,3600
2,4,6,821,3600
2,4,7,822,3600
2,4,8,823,3600
2,4,9,824,3600
2,4,10,825,3600
2,4,11,826,3600
2,4,12,827,3600
2,4,13,828,3600
2,4,14,829,3600
2,4,15,830,3600
2,4,16,831,3600
2,4,17,832,3600
2,4,18,833,3600
2,4,19,834,3600
2,4,20,835,3600
2,4,21,836,3600
2,4,22,837,3600
2,4,23,838,3600
2,4,24,839,3600
2,5,1,840,3600
2,5,2,841,3600
2,5,3,842,3600
2,5,4,843,3600
2,5,5,844,3600
2,5,6,845,3600
2,5,7,846,3600
2,5,8,847,3600
2,5,9,848,3600
2,5,10,849,3600
2,5,11,850,3600
2,5,12,851,3600
2,5,13,852,3600
2,5,14,853,3600
2,5,15,854,3600
2,5,16,855,3600
2,5,17,856,3600
2,5,18,857,3600
2,5,19,858,3600
2,5,20,859,3600
2,5,21,860,3600
2,5,22,861,3600
2,5,23,862,3600
2,5,24,863,3600
2,6,1,864,3600
2,6,2,865,3600
2,6,3,866,3600
2,6,4,867,3600
