Time (hr),Time (month),Tb (C),GHE ExFT (C)
273,0.366935484,2.989427453,-1.358378746
274,0.36827957,2.985331459,-1.362393815
275,0.369623656,2.981250632,-1.366394016
276,0.370967742,2.977184863,-1.370379458
277,0.372311828,2.97313404,-1.374350248
278,0.373655914,2.969098055,-1.378306493
279,0.375,2.965076802,-1.382248298
280,0.376344086,2.961070172,-1.386175768
281,0.377688172,2.957078062,-1.390089005
282,0.379032258,2.953100367,-1.393988113
283,0.380376344,2.949136984,-1.397873191
284,0.38172043,2.94518781,-1.40174434
285,0.383064516,2.941252746,-1.405601659
286,0.384408602,2.937331691,-1.409445245
287,0.385752688,2.933424547,-1.413275195
288,0.387096774,2.929531215,-1.417091605
289,0.38844086,2.9256516,-1.420894571
290,0.389784946,2.921785605,-1.424684185
291,0.391129032,2.917933135,-1.428460541
292,0.392473118,2.914094098,-1.43222373
293,0.393817204,2.910268399,-1.435973843
294,0.39516129,2.906455948,-1.439710972
295,0.396505376,2.902656653,-1.443435203
296,0.397849462,2.898870425,-1.447146627
297,0.399193548,2.895097174,-1.450845329
298,0.400537634,2.891336812,-1.454531397
299,0.40188172,2.887589252,-1.458204916
300,0.403225806,2.883854407,-1.461865971
301,0.404569892,2.880132193,-1.465514645
302,0.405913978,2.876422524,-1.469151022
303,0.407258065,2.872725316,-1.472775183
304,0.408602151,2.869040487,-1.47638721
305,0.409946237,2.865367955,-1.479987184
306,0.411290323,2.861707637,-1.483575184
307,0.412634409,2.858059455,-1.487151289
308,0.413978495,2.854423326,-1.490715578
309,0.415322581,2.850799174,-1.494268127
310,0.416666667,2.847186919,-1.497809014
311,0.418010753,2.843586485,-1.501338314
312,0.419354839,2.839997794,-1.504856103
313,0.420698925,2.83642077,-1.508362455
314,0.422043011,2.832855339,-1.511857443
315,0.423387097,2.829301426,-1.515341142
316,0.424731183,2.825758957,-1.518813622
317,0.426075269,2.822227858,-1.522274956
318,0.427419355,2.818708059,-1.525725214
319,0.428763441,2.815199485,-1.529164468
320,0.430107527,2.811702067,-1.532592787
321,0.431451613,2.808215734,-1.536010241
322,0.432795699,2.804740415,-1.539416897
323,0.434139785,2.801276043,-1.542812823
324,0.435483871,2.797822548,-1.546198087
325,0.436827957,2.794379863,-1.549572754
326,0.438172043,2.790947922,-1.55293689
327,0.439516129,2.787526658,-1.55629056
328,0.440860215,2.784116006,-1.559633828
329,0.442204301,2.780715899,-1.562966757
330,0.443548387,2.777326275,-1.566289413
331,0.444892473,2.773947067,-1.569601857
332,0.446236559,2.770578214,-1.572904152
333,0.447580645,2.767219651,-1.576196358
334,0.448924731,2.763871317,-1.579478539
335,0.450268817,2.76053315,-1.582750753
336,0.451612903,2.757205089,-1.586013062
337,0.452956989,2.753887072,-1.589265524
338,0.454301075,2.75057904,-1.592508199
339,0.455645161,2.747280933,-1.595741144
340,0.456989247,2.743992693,-1.598964419
341,0.458333333,2.74071426,-1.60217808
342,0.459677419,2.737445576,-1.605382183
343,0.461021505,2.734186584,-1.608576787
344,0.462365591,2.730937227,-1.611761945
345,0.463709677,2.727697449,-1.614937715
346,0.465053763,2.724467193,-1.61810415
347,0.466397849,2.721246405,-1.621261305
348,0.467741935,2.718035028,-1.624409235
349,0.469086022,2.714833008,-1.627547992
350,0.470430108,2.711640291,-1.630677629
351,0.471774194,2.708456824,-1.6337982
352,0.47311828,2.705282554,-1.636909756
353,0.474462366,2.702117427,-1.640012349
354,0.475806452,2.698961392,-1.64310603
355,0.477150538,2.695814396,-1.64619085
356,0.478494624,2.692676389,-1.64926686
357,0.47983871,2.689547319,-1.652334108
358,0.481182796,2.686427135,-1.655392646
359,0.482526882,2.683315789,-1.658442521
360,0.483870968,2.680213229,-1.661483783
361,0.485215054,2.677119408,-1.664516479
362,0.48655914,2.674034275,-1.667540659
363,0.487903226,2.670957783,-1.670556368
364,0.489247312,2.667889884,-1.673563654
365,0.490591398,2.664830529,-1.676562565
366,0.491935484,2.661779673,-1.679553145
367,0.49327957,2.658737267,-1.682535442
368,0.494623656,2.655703266,-1.6855095
369,0.495967742,2.652677623,-1.688475365
370,0.497311828,2.649660292,-1.691433081
371,0.498655914,2.646651229,-1.694382694
372,0.5,2.643650389,-1.697324246
373,0.501344086,2.640657726,-1.700257783
374,0.502688172,2.637673197,-1.703183346
375,0.504032258,2.634696758,-1.706100979
376,0.505376344,2.631728364,-1.709010726
377,0.50672043,2.628767974,-1.711912627
378,0.508064516,2.625815544,-1.714806725
379,0.509408602,2.622871032,-1.717693062
380,0.510752688,2.619934396,-1.720571679
381,0.512096774,2.617005593,-1.723442617
382,0.51344086,2.614084583,-1.726305917
383,0.514784946,2.611171324,-1.729161618
384,0.516129032,2.608265775,-1.732009762
385,0.517473118,2.605367896,-1.734850387
386,0.518817204,2.602477647,-1.737683533
387,0.52016129,2.599594987,-1.74050924
388,0.521505376,2.596719878,-1.743327545
389,0.522849462,2.59385228,-1.746138487
390,0.524193548,2.590992154,-1.748942106
391,0.525537634,2.588139461,-1.751738437
392,0.52688172,2.585294164,-1.75452752
393,0.528225806,2.582456223,-1.757309391
394,0.529569892,2.579625602,-1.760084087
395,0.530913978,2.576802262,-1.762851645
396,0.532258065,2.573986168,-1.765612102
397,0.533602151,2.571177281,-1.768365494
398,0.534946237,2.568375565,-1.771111856
399,0.536290323,2.565580984,-1.773851224
400,0.537634409,2.562793501,-1.776583634
401,0.538978495,2.560013082,-1.77930912
402,0.540322581,2.55723969,-1.782027718
403,0.541666667,2.55447329,-1.784739462
404,0.543010753,2.551713847,-1.787444386
405,0.544354839,2.548961326,-1.790142524
406,0.545698925,2.546215694,-1.792833911
407,0.547043011,2.543476915,-1.795518579
408,0.548387097,2.540744957,-1.798196562
409,0.549731183,2.538019784,-1.800867893
410,0.551075269,2.535301364,-1.803532605
411,0.552419355,2.532589663,-1.806190731
412,0.553763441,2.529884649,-1.808842302
413,0.555107527,2.527186288,-1.81148735
414,0.556451613,2.524494549,-1.814125909
415,0.557795699,2.521809398,-1.816758008
416,0.559139785,2.519130805,-1.81938368
417,0.560483871,2.516458737,-1.822002956
418,0.561827957,2.513793162,-1.824615867
419,0.563172043,2.51113405,-1.827222443
420,0.564516129,2.508481368,-1.829822714
421,0.565860215,2.505835087,-1.832416712
422,0.567204301,2.503195176,-1.835004467
423,0.568548387,2.500561604,-1.837586007
424,0.569892473,2.497934341,-1.840161363
425,0.571236559,2.495313357,-1.842730564
426,0.572580645,2.492698622,-1.845293639
427,0.573924731,2.490090107,-1.847850617
428,0.575268817,2.487487782,-1.850401528
429,0.576612903,2.484891618,-1.852946399
430,0.577956989,2.482301586,-1.855485259
431,0.579301075,2.479717658,-1.858018136
432,0.580645161,2.477139805,-1.860545059
433,0.581989247,2.474567997,-1.863066054
434,0.583333333,2.472002209,-1.86558115
435,0.584677419,2.46944241,-1.868090375
436,0.586021505,2.466888574,-1.870593754
437,0.587365591,2.464340674,-1.873091316
438,0.588709677,2.46179868,-1.875583086
439,0.590053763,2.459262568,-1.878069093
440,0.591397849,2.456732308,-1.880549361
441,0.592741935,2.454207876,-1.883023919
442,0.594086022,2.451689243,-1.88549279
443,0.595430108,2.449176384,-1.887956003
444,0.596774194,2.446669272,-1.890413581
445,0.59811828,2.444167881,-1.892865552
446,0.599462366,2.441672185,-1.89531194
447,0.600806452,2.439182159,-1.89775277
448,0.602150538,2.436697776,-1.900188068
449,0.603494624,2.434219013,-1.902617859
450,0.60483871,2.431745842,-1.905042167
451,0.606182796,2.42927824,-1.907461016
452,0.607526882,2.426816181,-1.909874432
453,0.608870968,2.42435964,-1.912282438
454,0.610215054,2.421908594,-1.914685059
455,0.61155914,2.419463017,-1.917082318
456,0.612903226,2.417022886,-1.91947424
457,0.614247312,2.414588176,-1.921860847
458,0.615591398,2.412158863,-1.924242163
459,0.616935484,2.409734924,-1.926618212
460,0.61827957,2.407316335,-1.928989017
461,0.619623656,2.404903073,-1.9313546
462,0.620967742,2.402495114,-1.933714984
463,0.622311828,2.400092435,-1.936070193
464,0.623655914,2.397695013,-1.938420249
465,0.625,2.395302826,-1.940765173
466,0.626344086,2.39291585,-1.943104989
467,0.627688172,2.390534064,-1.945439719
468,0.629032258,2.388157444,-1.947769383
469,0.630376344,2.385785968,-1.950094005
470,0.63172043,2.383419615,-1.952413606
471,0.633064516,2.381058362,-1.954728207
472,0.634408602,2.378702188,-1.95703783
473,0.635752688,2.376351071,-1.959342496
474,0.637096774,2.374004989,-1.961642226
475,0.63844086,2.37166392,-1.963937042
476,0.639784946,2.369327845,-1.966226963
477,0.641129032,2.36699674,-1.968512012
478,0.642473118,2.364670587,-1.970792207
479,0.643817204,2.362349363,-1.973067571
480,0.64516129,2.360033047,-1.975338122
481,0.646505376,2.35772162,-1.977603882
482,0.647849462,2.355415061,-1.979864871
483,0.649193548,2.353113349,-1.982121107
484,0.650537634,2.350816464,-1.984372612
485,0.65188172,2.348524386,-1.986619405
486,0.653225806,2.346237095,-1.988861506
487,0.654569892,2.343954571,-1.991098933
488,0.655913978,2.341676795,-1.993331707
489,0.657258065,2.339403747,-1.995559846
490,0.658602151,2.337135407,-1.99778337
491,0.659946237,2.334871756,-2.000002298
492,0.661290323,2.332612775,-2.002216648
493,0.662634409,2.330358445,-2.00442644
494,0.663978495,2.328108746,-2.006631691
495,0.665322581,2.32586366,-2.008832421
496,0.666666667,2.323623167,-2.011028647
497,0.668010753,2.32138725,-2.013220389
498,0.669354839,2.31915589,-2.015407664
499,0.670698925,2.316929068,-2.01759049
